Device_ID,timestamp,temp_true,humidity_true,lat_true,lon_true,distance_from_route_true,accel_mag_true,tamper_true,seq,cvss,epss,dvd,temp_reported,humidity_reported,lat_reported,lon_reported,distance_from_route_reported,accel_mag_reported,tamper_reported,timestamp_reported,cyberattack_anomaly,temp_breach_true,temp_breach_true_consec,temperature_anomaly_true,hum_breach_point,hum_breach_sustain,hum_breach_sustain_consec,humidity_anomaly_true,geo_breach_point,geo_breach_consec,geofence_anomaly_true,tamper_anomaly_true,temp_breach_rep,temp_breach_rep_consec,temperature_anomaly_reported,hum_breach_point_rep,hum_breach_sustain_rep,hum_breach_sustain_rep_consec,humidity_anomaly_reported,geo_breach_point_rep,geo_breach_consec_rep,geofence_anomaly_reported,tamper_anomaly_reported,primary_label_reported,temp_roll_mean_3,temp_roll_std_3,hum_roll_mean_3,hum_roll_std_3,temp_roll_mean_5,temp_roll_std_5,hum_roll_mean_5,hum_roll_std_5,delta_temp,delta_hum,delta_dist,gps_same,gps_repeat_count,reported_ts_diff_min,temp_roll_std_3_norm
D001,2025-01-01T00:00:00,4.519,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.298,36.1,12.905388,77.505,43.11,0.562,0,2024-12-31T23:59:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:05:00,5.191,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.484,36.69,12.905101,77.505002,11.23,0.385,0,2025-01-01T00:04:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:10:00,5.438,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.545,41.77,12.905384,77.505015,42.65,0.135,0,2025-01-01T00:10:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:15:00,5.541,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.721,41.83,12.905074,77.505004,8.26,0.431,0,2025-01-01T00:14:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:20:00,4.377,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.166,35.61,12.905191,77.505015,21.24,0.199,0,2025-01-01T00:20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:25:00,4.33,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.662,41.91,12.905073,77.505007,8.19,0.554,0,2025-01-01T00:24:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:30:00,4.652,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.06,39.89,12.905368,77.505044,41.19,0.318,0,2025-01-01T00:30:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:35:00,5.18,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.952,37.89,12.905661,77.505093,74.2,0.487,0,2025-01-01T00:34:53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:40:00,5.353,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.626,42.41,12.905248,77.50504,27.91,0.377,0,2025-01-01T00:39:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:45:00,5.293,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.519,41.14,12.905081,77.505015,9.18,0.289,0,2025-01-01T00:45:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:50:00,3.912,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,3.977,47.53,12.905405,77.505082,45.89,0.347,0,2025-01-01T00:49:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T00:55:00,4.816,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.862,44.9,12.905011,77.505002,1.27,0.33,0,2025-01-01T00:55:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:00:00,4.76,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.922,41.72,12.905646,77.505158,73.84,0.199,0,2025-01-01T01:00:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:05:00,5.073,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.313,45.83,12.905086,77.505023,9.93,0.394,0,2025-01-01T01:04:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:10:00,5.036,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.173,41.72,12.905268,77.505077,31.03,0.361,0,2025-01-01T01:10:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:15:00,4.343,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.491,39.89,12.905385,77.505119,44.78,0.31,0,2025-01-01T01:15:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:20:00,4.61,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.454,36.73,12.905397,77.505132,46.51,0.294,0,2025-01-01T01:19:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:25:00,5.673,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.668,41.27,12.905412,77.505146,48.51,0.028,0,2025-01-01T01:25:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:30:00,5.019,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.201,38.85,12.905502,77.505189,59.63,0.12,0,2025-01-01T01:30:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:35:00,4.891,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.645,37.53,12.905503,77.505201,60.22,0.286,0,2025-01-01T01:34:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:40:00,4.675,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.754,44.9,12.905613,77.505259,73.98,0.272,0,2025-01-01T01:39:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:45:00,5.521,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,5.627,43.89,12.905625,77.505279,76.01,0.425,0,2025-01-01T01:45:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
D001,2025-01-01T01:50:00,4.254,0.0,0.0,0.0,0.0,0.0,False,0,3.75,0.72,0.0,4.749,47.67,12.905358,77.505169,43.96,0.366,0,2025-01-01T01:49:59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
